X,CH1,CH2,Start,Increment
Sequence,Volt,Volt,-1.58E-04,1.00E-06
157,-9.60E-02,-1.04E+00,,
158,1.08E-01,-1.04E+00,,
159,1.04E-01,-9.60E-01,,
160,1.04E-01,-9.60E-01,,
161,1.04E-01,-7.60E-01,,
162,1.04E-01,-8.00E-01,,
163,1.06E-01,-4.80E-01,,
164,1.08E-01,-4.80E-01,,
165,1.04E-01,-8.00E-02,,
166,1.08E-01,-8.00E-02,,
167,1.04E-01,3.60E-01,,
168,1.04E-01,4.00E-01,,
169,1.08E-01,8.80E-01,,
170,1.04E-01,9.20E-01,,
171,1.08E-01,1.40E+00,,
172,1.04E-01,1.44E+00,,
173,1.06E-01,1.88E+00,,
174,1.08E-01,1.92E+00,,
175,1.06E-01,2.32E+00,,
176,1.06E-01,2.32E+00,,
177,1.08E-01,2.72E+00,,
178,1.08E-01,2.68E+00,,
179,1.06E-01,2.92E+00,,
180,1.04E-01,2.88E+00,,
181,1.08E-01,3.00E+00,,
182,1.08E-01,3.04E+00,,
183,1.04E-01,2.96E+00,,
184,1.06E-01,3.00E+00,,
185,1.08E-01,2.84E+00,,
186,1.08E-01,2.88E+00,,
187,1.06E-01,2.64E+00,,
188,1.06E-01,2.60E+00,,
189,1.08E-01,2.28E+00,,
190,1.04E-01,2.28E+00,,
191,1.08E-01,1.88E+00,,
192,1.06E-01,1.84E+00,,
193,1.08E-01,1.44E+00,,
194,1.06E-01,1.40E+00,,
195,1.08E-01,9.60E-01,,
196,1.06E-01,8.80E-01,,
197,1.08E-01,4.80E-01,,
198,1.06E-01,4.40E-01,,
199,1.08E-01,1.20E-01,,
200,1.08E-01,8.00E-02,,
201,1.04E-01,-2.40E-01,,
202,1.08E-01,-2.80E-01,,
203,1.04E-01,-5.20E-01,,
204,1.06E-01,-4.80E-01,,
205,1.08E-01,-6.40E-01,,
206,1.08E-01,-6.00E-01,,
207,1.06E-01,-6.80E-01,,
208,1.08E-01,-6.80E-01,,
209,1.04E-01,-5.60E-01,,
210,1.08E-01,-5.60E-01,,
211,1.04E-01,-4.00E-01,,
212,1.06E-01,-3.60E-01,,
213,1.08E-01,-8.00E-02,,
214,1.06E-01,-1.20E-01,,
215,1.08E-01,2.40E-01,,
216,1.08E-01,2.40E-01,,
217,1.06E-01,6.40E-01,,
218,1.06E-01,6.80E-01,,
219,1.08E-01,1.08E+00,,
220,1.08E-01,1.08E+00,,
221,1.04E-01,1.52E+00,,
222,1.08E-01,1.52E+00,,
223,1.04E-01,1.88E+00,,
224,1.06E-01,1.92E+00,,
225,1.08E-01,2.20E+00,,
226,1.06E-01,2.24E+00,,
227,1.08E-01,2.48E+00,,
228,1.06E-01,2.48E+00,,
229,1.08E-01,2.64E+00,,
230,1.08E-01,2.64E+00,,
231,1.04E-01,2.68E+00,,
232,1.06E-01,2.68E+00,,
233,1.08E-01,2.68E+00,,
234,1.08E-01,2.64E+00,,
235,1.06E-01,2.48E+00,,
236,1.04E-01,2.52E+00,,
237,1.08E-01,2.28E+00,,
238,1.06E-01,2.28E+00,,
239,1.08E-01,2.00E+00,,
240,1.06E-01,2.00E+00,,
241,1.08E-01,1.60E+00,,
242,1.08E-01,1.60E+00,,
243,1.06E-01,1.28E+00,,
244,1.08E-01,1.24E+00,,
245,1.04E-01,8.80E-01,,
246,1.04E-01,8.40E-01,,
247,1.08E-01,4.80E-01,,
248,1.06E-01,4.80E-01,,
249,1.08E-01,1.60E-01,,
250,1.08E-01,1.60E-01,,
251,1.04E-01,-8.00E-02,,
252,1.08E-01,-8.00E-02,,
253,1.06E-01,-2.80E-01,,
254,1.08E-01,-2.80E-01,,
255,1.04E-01,-4.00E-01,,
256,1.08E-01,-4.00E-01,,
257,1.04E-01,-3.60E-01,,
258,1.08E-01,-3.60E-01,,
259,1.06E-01,-2.80E-01,,
260,1.08E-01,-2.00E-01,,
261,1.04E-01,-8.00E-02,,
262,1.04E-01,-8.00E-02,,
263,1.08E-01,1.60E-01,,
264,1.08E-01,2.40E-01,,
265,1.04E-01,4.80E-01,,
266,1.06E-01,5.20E-01,,
267,1.08E-01,8.00E-01,,
